region,name,area_m2,grith_m,length_m,num_facilities,kind_facilities,green_rate,GLR,evaluation,5_min_usage
鼓楼区,扬州路苏州路交界口袋公园,1491,176,176,8,1,59.70%,66.82%,好,17
鼓楼区,云南路西桥交界口袋公园,646,85,85,4,2,44.38%,56.20%,一般,33
鼓楼区,马台街虹桥交界口袋公园,890,102,102,7,2,43.41%,64.65%,好,40
鼓楼区,新模范马路铁路南街交界口袋公园,,0,79,0,0,82.24%,64.21%,一般,13
鼓楼区,盐仓桥广场西南口袋公园,671,82,82,2,1,76.88%,69.90%,一般,35
鼓楼区,颐和路牯岭路南交界口袋公园,0,70,70,0,0,78.26%,75.07%,很好,38
鼓楼区,颐和路牯岭路东交界口袋公园,450,,89,8,2,54.67%,67.82%,一般,44
鼓楼区,古平岗虎踞北路交界口袋公园,1148,108,0,5,1,49.25%,78.19%,一般,19
鼓楼区,三牌楼大街福建路交界口袋公园,741,84,84,2,2,99.53%,61.17%,好,69
栖霞区,郭家山广场,5465,478,478,,1,54.48%,55.83%,一般,67
栖霞区,幕府南路广场,6674,508,508,1,2,35.79%,73.21%,很好,38
栖霞区,幕旭西路西南侧口袋公园,2452,200,200,7,2,33.91%,73.24%,一般,56
栖霞区,幕旭西路西北侧口袋公园,0,462,462,0,0,31.31%,55.94%,好,45
建邺区,雨润大街与黄山路交界口袋公园,6702,507,507,1,1,35.67%,66.08%,很好,45
秦淮区,陶李王巷游园,2387,186,186,10,3,71.53%,47.02%,很好,32
秦淮区,石城桥北广场,2987,207,207,0,0,72.14%,77.29%,好,67
秦淮区,凤凰街游园,,434,434,,1,43.18%,51.20%,一般,65
秦淮区,水西门北园,2300,185,185,12,4,49.62%,18.57%,好,57
秦淮区,仙鹤桥广场,397,40,40,2,1,59.53%,14.78%,很好,12
建邺区,鸿达新寓东北游园,3151,,0,11,2,56.64%,86.81%,很好,11
雨花台区,五贵里小游园,1885,98,98,11,1,68.95%,71.13%,好,63
雨花台区,普德公园,4344,398,398,12,4,78.82%,62.39%,一般,33
雨花台区,东风河游园,1148,111,111,3,1,55.42%,68.69%,好,25
玄武区,三条巷文昌宫游园,1154,,80,0,0,49.26%,33.17%,好,12
玄武区,解放路北游园,0,101,101,4,1,47.34%,66.56%,很好,9
建邺区,东水关滨河小游园,2807,258,258,4,2,70.51%,67.01%,好,62
建邺区,解放南路明御河路游园,1588,181,181,,0,39.05%,43.42%,好,37
建邺区,大油坊巷游园,3193,332,332,6,2,62.64%,74.54%,很好,29
玄武区,白马山庄北侧游园,5154,459,459,2,2,63.02%,78.83%,很好,67
玄武区,岗子村地铁站游园,4823,404,404,0,0,69.56%,73.21%,好,54
