ID,NAME,GDP,POPULATION,EDUCATION,CONSUMPTION,MUSEUM,IEV,GREENLAND
1,北京市,41611,2189,15085043,38903,80,115005601,9.27
2,天津市,16311.3,1373,6031844,28461,71,125765698,4.37
3,河北省,42370.4,7448,21282804,18037,148,100082027,9.88
4,山西省,25642.6,3480,10071575,15733,159,21993650,5.66
5,内蒙古自治区,23158.7,2400,8510492,19794,172,20575473,6.85
6,辽宁省,28975.1,4229,10988599,20672,65,118260577,14.79
7,吉林省,13070.2,2375,7204781,17318,107,19588258,9.26
8,黑龙江省,15901,3125,8422728,17056,191,20534528,7.15
9,上海市,44652.8,2489,14427631,42536,107,478776906,16.46
10,江苏省,122875.6,8505,33717331,26225,367,684371106,30.58
11,浙江省,77715.4,6540,28846115,31295,406,465044988,17.94
12,安徽省,45045,6113,17478565,18877,230,75224892,11.95
13,福建省,53109.9,4187,14160989,25126,132,172095783,7.53
14,江西省,32074.7,4517,15772884,17955,172,50932240,7.71
15,山东省,87435.1,10170,31022594,20940,577,353474472,26.3
16,河南省,61345.1,9883,28022275,16143,336,104459906,12.21
17,湖北省,53734.9,5830,16783125,19246,214,61649425,10.58
18,湖南省,48670.4,6622,18852587,20998,122,47862053,8.1
19,广东省,129118.6,12684,53869558,28492,296,1206212399,52.55
20,广西壮族自治区,26300.9,5037,15418302,16357,142,66703246,7.47
21,海南省,6818.2,1020,4632077,18972,35,16580488,1.77
22,重庆市,29129,3212,11823943,21678,105,83982947,7.07
23,四川省,56749.8,8372,24660021,19783,258,117306653,13.05
24,贵州省,20164.6,3852,14479368,14874,92,7480070,5.68
25,云南省,28954.2,4690,16571342,16792,161,34356745,5.13
26,西藏自治区,2132.6,366,3164861,13225,8,282377,0.63
27,陕西省,32772.7,3954,13169806,17418,309,51300416,6.59
28,甘肃省,11201.6,2490,8440554,16175,226,5704697,3.03
29,青海省,3610.1,594,2931351,18284,24,310856,0.84
30,宁夏回族自治区,5069.6,725,2791933,17506,54,2927568,2.69
31,新疆维吾尔自治区,17741.3,2589,11029496,16512,81,27067106,8.13
